source,source_id,source_license,name_raw,name_type,country_iso2,language_tag,evidence_count,fetched_at,canonical,suggested_tradition,reviewer_notes
manual_csv,edo-001,CC-BY-4.0,Irorere,family,NG,ed,1,2026-04-19T00:00:00+00:00,Irorere,west_african,"Benin/Edo name meaning 'I'm thinking about it' (reflective name)"
manual_csv,edo-002,CC-BY-4.0,Aibuedfe,family,NG,ed,1,2026-04-19T00:00:00+00:00,Aibuedfe,west_african,"Benin/Edo name meaning 'you won't know when you become rich'"
manual_csv,edo-003,CC-BY-4.0,Ogiemwonyi,family,NG,ed,1,2026-04-19T00:00:00+00:00,Ogiemwonyi,west_african,"Benin/Edo name meaning 'a chief has no friend'"
manual_csv,edo-004,CC-BY-4.0,Osaro,given,NG,ed,1,2026-04-19T00:00:00+00:00,Osaro,west_african,"Benin/Edo name meaning 'God's gift'"
manual_csv,edo-005,CC-BY-4.0,Osarobo,given,NG,ed,1,2026-04-19T00:00:00+00:00,Osaro,west_african,"Variant of Osaro - Benin/Edo name"
manual_csv,edo-006,CC-BY-4.0,Osagie,given,NG,ed,1,2026-04-19T00:00:00+00:00,Osagie,west_african,"Benin/Edo royal name meaning 'God agrees'"
manual_csv,edo-007,CC-BY-4.0,Osaze,given,NG,ed,1,2026-04-19T00:00:00+00:00,Osagie,west_african,"Variant of Osagie - Benin/Edo name"
manual_csv,edo-008,CC-BY-4.0,Ehi,given,NG,ed,1,2026-04-19T00:00:00+00:00,Ehi,west_african,"Benin/Edo name meaning 'destiny/guardian spirit'"
manual_csv,edo-009,CC-BY-4.0,Ehis,given,NG,ed,1,2026-04-19T00:00:00+00:00,Ehi,west_african,"Variant of Ehi - Benin/Edo name"
manual_csv,edo-010,CC-BY-4.0,Ehigie,given,NG,ed,1,2026-04-19T00:00:00+00:00,Ehi,west_african,"Variant of Ehi meaning 'destiny is great'"
manual_csv,edo-011,CC-BY-4.0,Obasohan,family,NG,ed,1,2026-04-19T00:00:00+00:00,Obasohan,west_african,"Benin/Edo name meaning 'the king is alive'"
manual_csv,edo-012,CC-BY-4.0,Izehi,given,NG,ed,1,2026-04-19T00:00:00+00:00,Izehi,west_african,"Benin/Edo name meaning 'I have what I asked for'"
manual_csv,edo-013,CC-BY-4.0,Nosakhare,given,NG,ed,1,2026-04-19T00:00:00+00:00,Nosakhare,west_african,"Benin/Edo name meaning 'God's way/path'"
manual_csv,edo-014,CC-BY-4.0,Nosakhere,given,NG,ed,1,2026-04-19T00:00:00+00:00,Nosakhare,west_african,"Variant spelling of Nosakhare"
manual_csv,edo-015,CC-BY-4.0,Osamudiamen,given,NG,ed,1,2026-04-19T00:00:00+00:00,Osamudiamen,west_african,"Benin/Edo name meaning 'God knows best'"
manual_csv,edo-016,CC-BY-4.0,Eghosa,given,NG,ed,1,2026-04-19T00:00:00+00:00,Eghosa,west_african,"Benin/Edo name meaning 'God's time'"
manual_csv,edo-017,CC-BY-4.0,Aigbogun,family,NG,ed,1,2026-04-19T00:00:00+00:00,Aigbogun,west_african,"Benin/Edo name meaning 'I have a protector'"
manual_csv,edo-018,CC-BY-4.0,Orobosa,given,NG,ed,1,2026-04-19T00:00:00+00:00,Orobosa,west_african,"Benin/Edo name meaning 'God is my friend'"
