osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation,human_label
node/2923098159,Tsara Primary Health Centre,PHC,f42a333a-456f-4ec6-a505-535a166d38d2,Tsara Primary Health Center,PHC,Rogo,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
node/2923263870,Ruwan Bago Health Post,HEALTH_POST,f71de7ca-edf6-4618-9c08-57ce46852a7c,Ruwan Bago Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
node/2923263874,Unguwar Malam Amadu Health Post,HEALTH_POST,1bb9e7eb-1729-4e03-86e9-5893c928c043,Unguwar Mallam Amadu Health Post,HEALTH_POST,Rogo,0.9824,match,0.99,0.9982,0.003,True,name 99%; 0.0 km apart; type match,
node/2923485905,Jajaye Primary Health Centre,PHC,f5775af9-3c06-4b4a-bcca-65c76e194c1d,Jajaye Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9909,0.014,False,name 100%; 0.0 km apart; type differs,
node/2923573777,Daura Health Post,HEALTH_POST,c0886de9-aa23-436b-a898-78162a0662ed,Daura Health Post,HEALTH_POST,Karaye,0.9824,match,1.0,0.9967,0.005,True,name 100%; 0.0 km apart; type match,
node/2923573784,Sabon Birni Primary Health Centre,PHC,ff7c30a5-7779-44a4-ae22-ac61667228c4,Sabon Birni Health Post,HEALTH_POST,Gwarzo,0.9824,match,1.0,0.9977,0.003,False,name 100%; 0.0 km apart; type differs,
node/2923599549,Dariyar Shere Primary Health Centre,PHC,0cd5e232-b12a-4b26-88ff-bb6b7129c908,Dariyar Shere Health Post,HEALTH_POST,Doguwa,0.9824,match,1.0,0.9986,0.002,False,name 100%; 0.0 km apart; type differs,
node/2925699884,Bargoni Health Post,HEALTH_POST,7d592a2e-9161-45be-81bf-217e7702d5e1,Bargoni Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.9996,0.001,True,name 100%; 0.0 km apart; type match,
node/2925699889,Gazan Health Post,HEALTH_POST,c55365fd-5de9-475d-8afd-035ad8b636cd,Gazan Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.999,0.002,True,name 100%; 0.0 km apart; type match,
node/2925701101,Unguwar Turaki Health Post,HEALTH_POST,b07b3c08-c99b-439f-83df-577e96592937,Unguwar Turaki Health Post,HEALTH_POST,Kabo,0.9824,match,1.0,0.9993,0.001,True,name 100%; 0.0 km apart; type match,
node/2925757204,Maraku Health Post,HEALTH_POST,386a5381-d0d4-4e6b-a0ac-60119966e0fa,Maraku Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.9992,0.001,True,name 100%; 0.0 km apart; type match,
node/2925837271,Rufai Health Post,HEALTH_POST,ee2a47af-440a-433b-9ee1-3baa2b6670dd,Rufai Health Post,HEALTH_POST,Doguwa,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
node/2925991011,Bauda Health Post,HEALTH_POST,c314cdb6-63a5-4ee2-852e-8911a09aae66,Bauda Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.9968,0.005,True,name 100%; 0.0 km apart; type match,
node/2925991019,Yako Primary Health Centre,PHC,a7bcc6c6-f910-4a75-80d2-a8fc1acf3e4f,Yako Primary Health Center,PHC,Kiru,0.9824,match,1.0,0.9961,0.006,True,name 100%; 0.0 km apart; type match,
node/2929137246,Jinjimawa Health Post,HEALTH_POST,01d70a08-1343-48d7-9654-fca56949a61b,Jinjimawa Health Post,HEALTH_POST,Bichi,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
node/2929137251,Kwamarawa Health Post,HEALTH_POST,6ea5381b-7d69-4a98-9c3b-e3148b3a6fb2,Kwamarawa Health Post,HEALTH_POST,Bichi,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
node/2929137257,Tukuibi Health Post,HEALTH_POST,5c37a274-b3d6-47f0-8048-6eeda86ad6a4,Tukuibi Health Post,HEALTH_POST,Bichi,0.9824,match,1.0,0.9934,0.01,True,name 100%; 0.0 km apart; type match,
node/2929399564,Farsa Health Post,HEALTH_POST,aad58dce-e8bc-4323-8870-9522301efe3c,Farsa Health Post,HEALTH_POST,Tsanyawa,0.9824,match,1.0,0.9998,0.0,True,name 100%; 0.0 km apart; type match,
node/2929399568,Lamba Health Post,HEALTH_POST,977eb5ae-4659-4843-bdda-c03c14d58a36,Lamba Health Center,PHC,Bichi,0.9824,match,1.0,0.9957,0.007,False,name 100%; 0.0 km apart; type differs,
node/2929399575,Waire Health Post,HEALTH_POST,053bd3f5-1252-43b7-b988-8d2eeb01062c,Waire Health Post,HEALTH_POST,Bichi,0.9824,match,1.0,0.9989,0.002,True,name 100%; 0.0 km apart; type match,
node/2954277529,Mazan Gudu Health Post,HEALTH_POST,afe720f5-d8b1-48af-a2b4-66fd8d6390fa,Mazan Gudu Health Post,HEALTH_POST,Gabasawa,0.9824,match,1.0,0.9996,0.001,True,name 100%; 0.0 km apart; type match,
way/286269667,Kwarkiya Health Post,HEALTH_POST,996d130b-e6b3-4ff9-844c-b7a2581c172b,Kwarkiya Health Post,HEALTH_POST,Minjibir,0.9824,match,1.0,0.9996,0.001,True,name 100%; 0.0 km apart; type match,
way/287517082,Sarbi Health Post,HEALTH_POST,c385ca0e-d474-413a-a128-2f6c826ab8ae,Sarbi Health Post,HEALTH_POST,Minjibir,0.9824,match,1.0,0.9994,0.001,True,name 100%; 0.0 km apart; type match,
way/288472000,Baushe Health Post,HEALTH_POST,7d260b0a-b963-47bd-a92e-2ad655979a29,Baushe Health Post,HEALTH_POST,Dambatta,0.9824,match,1.0,0.9976,0.004,True,name 100%; 0.0 km apart; type match,
way/290171093,Kauyen Adam Health Post,HEALTH_POST,4c3d9d9b-33fe-41ec-813a-fd4cda6ab032,Kauyen Adam Health Post,HEALTH_POST,Bagwai,0.9824,match,1.0,0.9986,0.002,True,name 100%; 0.0 km apart; type match,
way/290171106,Iyawa Health Post,HEALTH_POST,94e97f9d-db67-48b0-a33b-d17dbaf043f4,Iyawa Health Post,HEALTH_POST,Bichi,0.9824,match,1.0,0.9997,0.0,True,name 100%; 0.0 km apart; type match,
way/290171114,Dutsen Karya Health Post,HEALTH_POST,656038a5-b2be-40e6-a766-43e0400868fc,Dutsen Karya Health Post,HEALTH_POST,Bichi,0.9824,match,1.0,0.9978,0.003,True,name 100%; 0.0 km apart; type match,
way/290533455,Biyamusu Health Post,HEALTH_POST,55651117-2830-400f-bebc-0b859f151a12,Biyamusu Health Post,HEALTH_POST,Ajingi,0.9824,match,1.0,0.9995,0.001,True,name 100%; 0.0 km apart; type match,
way/290673630,Daho Health Post,HEALTH_POST,fbd8bbe0-d976-4b03-8e10-5de7aac6b2fc,Daho Health Post,HEALTH_POST,Albasu,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
way/290832368,Zakawa Health Post,HEALTH_POST,375b9e1e-2a12-4700-9977-10ae598bc281,Zakawa Health Post,HEALTH_POST,Tsanyawa,0.9824,match,1.0,1.0,0.0,True,name 100%; 0.0 km apart; type match,
way/291437920,Sakaratsa Health Post,HEALTH_POST,3473d2bb-d9cf-454f-956d-7355fff97943,Sakaratsa Health Post,HEALTH_POST,Rimin Gado,0.9824,match,1.0,0.998,0.003,True,name 100%; 0.0 km apart; type match,
way/291438407,Kwami Health Post,HEALTH_POST,6d97ad81-8b75-44cb-a478-eced1ecff62b,Kwami Health Post,HEALTH_POST,Tofa,0.9824,match,1.0,0.9996,0.001,True,name 100%; 0.0 km apart; type match,
way/291441969,Maraya Health Post,HEALTH_POST,2ef62824-4fea-41e6-be73-c59b5f2eccfa,Maraya Health Post,HEALTH_POST,Madobi,0.9824,match,1.0,0.997,0.005,True,name 100%; 0.0 km apart; type match,
way/291442888,Maigari Ingila Health Post,HEALTH_POST,f07e34b3-baa3-4e97-a58e-0d3e225caa2c,Maigari Ingila Health Post,HEALTH_POST,Rimin Gado,0.9824,match,1.0,0.9986,0.002,True,name 100%; 0.0 km apart; type match,
way/291444192,Bakwami Health Post,HEALTH_POST,6d186f18-a063-4d52-8bd3-6e72d2373589,Bakwami Health Post,HEALTH_POST,Shanono,0.9824,match,1.0,0.996,0.006,True,name 100%; 0.0 km apart; type match,
way/291445944,Kanye Health Post,HEALTH_POST,d07a3ae7-628d-48f1-8ae9-7018710fa6ce,Kanye Health Post,HEALTH_POST,Kabo,0.9824,match,1.0,0.9997,0.001,True,name 100%; 0.0 km apart; type match,
way/291448218,Shadau Health Post,HEALTH_POST,e947b141-2eed-4717-a37d-de736708067d,Shadau Health Post,HEALTH_POST,Kabo,0.9824,match,1.0,0.9984,0.002,True,name 100%; 0.0 km apart; type match,
way/291666940,Gude Health Post,HEALTH_POST,151959a1-c648-400c-9e70-c25e3ba988df,Gude Health Post,HEALTH_POST,Kabo,0.9824,match,1.0,0.9973,0.004,True,name 100%; 0.0 km apart; type match,
way/291751274,Yan Bawa Health Post,HEALTH_POST,43f25992-725a-4727-9c35-51ac0f3815a4,Yan Bawa Health Post,HEALTH_POST,Sumaila,0.9824,match,1.0,0.9993,0.001,True,name 100%; 0.0 km apart; type match,
way/291752873,Mangari Health Post,HEALTH_POST,1542c1a7-5bfc-4acf-8ee3-ecdad56a7f59,Mangari Health Post,HEALTH_POST,Albasu,0.9824,match,1.0,0.998,0.003,True,name 100%; 0.0 km apart; type match,
way/291753929,Rinji Health Post,HEALTH_POST,f38e60a2-1b7e-4d8a-8ebe-f0553971bcdc,Rinji Health Post,HEALTH_POST,Albasu,0.9824,match,1.0,0.9992,0.001,True,name 100%; 0.0 km apart; type match,
way/291754204,Alfindi Health Post,HEALTH_POST,97ece6cc-79f8-4452-86a1-e0e71e9851c4,Alfindi Health Post,HEALTH_POST,Sumaila,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
way/291755115,Durbunde Primary Health Centre,PHC,f1a5f71b-873a-4528-9cac-69f89266e15d,Durbunde Primary Health Center,PHC,Takai,0.9824,match,1.0,0.9943,0.009,True,name 100%; 0.0 km apart; type match,
way/291757020,Jibawa Health Post,HEALTH_POST,f0944f55-75f8-47ee-a793-deded367df15,Jibawa Health Post,HEALTH_POST,Gaya,0.9824,match,1.0,0.9993,0.001,True,name 100%; 0.0 km apart; type match,
way/291757024,Kalahaddi Health Post,HEALTH_POST,991a7d97-8e7b-4c64-9869-d811e7d9f3c5,Kalahaddi Health Post,HEALTH_POST,Gaya,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
way/291759009,Gurduba Health Post,HEALTH_POST,3698206c-9012-4447-a218-0c503ff2a74e,Gurduba Health Post,HEALTH_POST,Ajingi,0.9824,match,1.0,0.9976,0.004,True,name 100%; 0.0 km apart; type match,
way/291759369,Gafasa Health Post,HEALTH_POST,4863165e-a0fd-4ff2-a20e-5c764777e944,Gafasa Health Post,HEALTH_POST,Ajingi,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
way/291761155,Goron Dutse Health Post,HEALTH_POST,9c849e3f-37e1-4f30-af7a-354e408a7865,Goron Dutse Health Post,HEALTH_POST,Shanono,0.9824,match,1.0,0.9983,0.002,True,name 100%; 0.0 km apart; type match,
way/291841839,Unguwar Bai Health Post,HEALTH_POST,c9c53dd6-08fa-43f6-a216-547fa985a497,Unguwar Bai Health Post,HEALTH_POST,Ajingi,0.9824,match,1.0,0.9997,0.001,True,name 100%; 0.0 km apart; type match,
way/291876678,Bankamawa Health Post,HEALTH_POST,7ec35bbc-cc91-4305-8cfd-cb0afe6d3708,Bankamawa Health Post,HEALTH_POST,Shanono,0.9824,match,1.0,0.9983,0.003,True,name 100%; 0.0 km apart; type match,
way/291876685,Tudara Health Post,HEALTH_POST,52ccc02a-a06d-42f1-8b5c-66d860bb1b22,Tudara Health Post,HEALTH_POST,Bagwai,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
way/291879249,Bumai Health Post,HEALTH_POST,cd2a3960-3753-4c14-854e-64566119d3cb,Bumai Health Post,HEALTH_POST,Kunchi,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
way/291879257,Gadaba Health Post,HEALTH_POST,e20a8f76-7566-422d-a323-695a03696379,Gadaba Health Post,HEALTH_POST,Kunchi,0.9824,match,1.0,0.9989,0.002,True,name 100%; 0.0 km apart; type match,
way/291881002,Ganji Health Post,HEALTH_POST,dda7bbdc-2e13-4873-81fb-c163f9e6e2ef,Ganji Health Post,HEALTH_POST,Makoda,0.9824,match,1.0,0.9974,0.004,True,name 100%; 0.0 km apart; type match,
way/291889758,Jibga Fulani Health Post,HEALTH_POST,87184442-6ebd-46e6-9ff6-e61efd84a7c7,Jibga Fulani Health Post,HEALTH_POST,Makoda,0.9824,match,1.0,0.9951,0.007,True,name 100%; 0.0 km apart; type match,
way/291889763,Kurna Health Post,HEALTH_POST,590e5ab9-1789-470d-881b-be10261bdf3f,Kurna Health Post,HEALTH_POST,Makoda,0.9824,match,1.0,0.9995,0.001,True,name 100%; 0.0 km apart; type match,
way/291897519,Kwasauri Health Post,HEALTH_POST,9e923016-9d34-40c1-ad78-7154fc04f28d,Kwasauri Health Post,HEALTH_POST,Dambatta,0.9824,match,1.0,0.9969,0.005,True,name 100%; 0.0 km apart; type match,
way/291901215,Katsarduwa Health Post,HEALTH_POST,47e7aa38-69b5-4726-bf64-120b1d514d32,Katsarduwa Health Post,HEALTH_POST,Dambatta,0.9824,match,1.0,0.9942,0.009,True,name 100%; 0.0 km apart; type match,
